,docdb_family_id,appln_id,appln_abstract
0,10341,21815643,"Trisazo dyes are made by coupling a diazotised aminobenzenesulphonic acid, containing in p-position to the diazo group a nitro or acylamino group, with a middle component, diazotising the resulting aminoazo dyestuff, coupling with a further middle component, diazotising the resulting aminodisazo dyestuff, coupling with a 2-aroylamino-5-hydroxynaphthalene-7-sulphonic acid and finally reducing or hydrolysing the p-positioned nitro or acylamino group to form a primary amino group. Of the middle components, one must be 1-aminonaphthalene-6- or 7-sulphonic acid, a mixture thereof or a 2-alkoxy-1-aminonaphthalene-6- or 7-sulphonic acid and the other must be either one of these or an aminohydroquinonedialkyl ether. The products dye cellulose fibres directly in blue, green-blue or grey-blue shades, which can be developed on the fibre by diazotization and coupling, e.g. with b -naphthol. In examples: (1) 4 - acetylamino - 1 - aminobenzene-3- sulphonic acid --> mixture of 1-aminonaphthalene-6- and 7-sulphonic acids --> aminohydroquinonedimethyl ether --> N-benzoyl-J-acid or N-p-chlorobenzoyl-J-acid is partially saponified; (2) 4-acetylamino-1-aminobenzene-3-sulphonic acid --> 1-naphthylamine-6-sulphonic acid --> 1-naphthylamine-6-sulphonic acid --> N-benzoyl-J-acid is partially saponified; (3) 4-oxalylamino-1-aminobenzene-3-sulphonic acid --> 1-aminonaphthalene-7-sulphonic acid --> 1-amino-2-methoxynaphthalene-6-sulphonic acid --> N-benzoyl-J-acid is partially saponified; (4) 1-amino-4-nitrobenzene-3-sulphonic acid --> 1-aminonaphthalene-6-sulphonic acid --> 1-aminonaphthalene-6-sulphonic acid --> N-benzoyl-J-acid is reduced with sodium sulphide; (5) 4-acetylamino-1-aminobenzene-3-sulphonic acid --> 1 - aminonaphthalene - 7 - sulphonic acid --> 1 - aminonaphthalene - 7 - sulphonic acid --> N-benzoyl-J-acid is partially saponified; (6) 1-amino-4-nitrobenzene-2-sulphonic acid --> 1 - aminonaphthalene - 6 - sulphonic acid --> 1 - aminonaphthalene - 6 - sulphonic acid --> N-benzoyl-J-acid is reduced with sodium sulphide. 1 - Amino - 4 - oxalylaminobenzene - 3 - sulphonic acid is obtainable by condensing the sodium salt of 1 : 4-diaminobenzenesulphonic acid with oxalic acid in aqueous solution."
1,12101,21564451,"269,571. Pelabon, C. L. April 16, 1926, [Convention date]. Mine props are formed with an upper I-section iron a and a lower channel-section iron c, the two parts being relatively adjustable and secured together with a predetermined pressure by means of an enclosing band d and a pivoted cam g operated by a lever i. In a recess on the side of the band opposite the cam is disposed a friction pad e which prevents slip and removable packing may be inserted in the recess beneath the pad to take up wear."
2,21226,21867405,"296,753. Johnson, J. Y., (I. G. Farbenindustrie Akt.-Ges.). March 3, 1927. Divided on 296,683. Hydrocarbons.-The hot parts of apparatus in which hydrocarbons are treated at high temperatures are composed of or lined with molybdenum, tantalum or chromium to prevent deposition of carbon. If catalysts are used they should also be substances which do not encourage carbon deposition, e.g. silica, pumice, barium carbonate, charcoal treated with barium salts, boron, tungsten, &c. with or without a coating of lustrous carbon. The invention is applicable to distilling, extracting, dehydrogenating, and other processes, involving heat treatment of hydrocarbons, excepting cracking and hydrogenating, which are excluded."
3,24872,21221912,"307,755. Soc. Belge du Caoutchouc Mousse. March 12, 1928, [Convention date], Void [Published under Sect. 91 of the Acts]. Spring surfaces; mattresses. - cushions and like resilient bodies are formed of super posed plates or layers of cellular material having spaces therein to permit ready deformation. The plates are preferably of grid-like formation and the bars of the grids may be of rectangular or other section, being preferably ' waisted ' as shown in Fig. 12. There are preferably two series of layers or plates alternating one with the other and of the same or different shapes; or either or both layers may consist of independent bars or blocks and the arrangement may be such that the bars in alternate layers of one series are in staggered relation to the bars in the other layers. The material used for the plates or bars is preferably cellular rubber and the parts of the structure may be secured by adhesives or by tying. If desired the faces of the plates may be covered by continuous plates of material secured thereto."
4,31171,20972946,"352,911. Coating with metals. BOUTEFEU, G., 8, Rue de Nimal, Marchienne-au-Pont, Belgium. Jan. 9, 1930, No. 904. Convention date, Jan. 10, 1929. Void [Published under Sect. 91 of the Acts]. [Class 82 (ii).] To. obtain a thin uniform coating in plating sheets, ribbons, strips, &c. with tin, lead aluminium or 'other material the sheet &c. 1 on issuing from the bath of molten metal is subjected to the action of jets 2, 3 of air, gas, liquid palm oil or water vapour, which may be superheated, directed oppositely to the direction of travel of the sheet. The jet fluid may be previously heated and the jets may be arranged in series, different fluids at different temperatures being employed. The process is stated to be applicable to coating metallic or other surfaces."
5,34644,21868408,"363,675. Seats. AUWERA, R. VAN DER, 82, Rue Leopold, Malines, Belgium. June 17, 1930, No. 18551. Convention date, June 17, 1929. Void [Published under Sect. 91 of the Acts]. [Class 52 (ii).] A folding back rest consists of two standards a with supports b connected by a lazytongs device."
6,36406,21958528,"320,837. Smart, A. Oct. 10, 1928. Divided on and addition to 312,014. Drawings to Specification. Controlling different functions by same lever; pedals and pedal levers.-In a control pedal for motor vehicles, of the type adapted to operate two controls as described in the parent Specification, the point or axis about which the pedal is adapted to be rocked lies in or intersects the line of direct forward pressure of the foot. The construction is identical with that described in the parent Specification."
7,45112,22270083,"360,624. Brakes. LORMœLLER, B., 307, Seefeldstrasse, Zurich, Switzerland. Oct. 17, 1930, No. 31158. Convention date, Oct. 31, 1929. [Class 103 (i).] Actuated by motor-controlling appliances.-In a vehicle brake in which a power brake is controlled by the acceleration pedal, and two control members are arranged to be depressed by one foot of the driver, and so that by totally depressing one member the accelerator is moved through one portion of its path of travel, and by totally depressing the second member the gas pedal is moved through its full path, the points of contact for the foot are situated in an inclined plane below each other and the distance between them is arranged so that the upper member 37 is depressed by the sole and the lower member 39 by the heel of the foot. In Fig. 1 both members are shown fully depressed. The acceleration member 37 may be released whereby a stay 40 engages the member 39 and the member 37 is held in. the intermediate position. When both members are released the member 37 moves through its full path whereby the brakes are applied. In a modified form the accelerator member 5, Fig. 6, is guided in a hub 4 carried by a plate 3 supported by swinging links 2 on a bracket 1. The second control member 3a forms an extension of the plate 3. The plate 3 is adapted to engage a stay 1b"
8,47996,21102250,"361,738. Static contact rectifiers. NAAMLOOZE VENNOOTSCHAP PHILIPS' GLOEILAMPENFABRIEKEN, 13D, Emmasingel, Eindhoven, Holland. Feb. 13, 1931, No. 4584. Convention date, March 8, 1930. [Class 37.] A dry contact rectifier is provided with a cathode consisting, at least in part, of a metal of the first subgroup of the fourth principal group of the periodic system. The cathode is formed of one of the metals zirconium, titanium, hafnium, thorium coated with a layer of one or more compounds of the constituent metal. A zirconium plate may be formed with a coating of zirconium nitride or zirconia or a mixture of these compounds by heating or by chemical or electrolytic means described in the Specification and analogous processes are used with the other metals. The anode is made of a compound containing a negative constituent formed by one of the elements of the halogen, oxygen or nitrogen groups or a mixture of these compounds. Cuprous sulphide containing free sulphur, copper iodide containing free iodine, sulphides of lead, molybdenum, tungsten, and iron, iron hammer scale and phosphorous are mentioned in this connection, as also are the oxides of manganese and cadmium, silver chloride containing free iodine, and lead dioxide. The drawing shows the rectifier unit in which the cathodes a are coated at b as described and placed in contact with the anodes c, the unit being connected for full wave rectification."
9,62842,21608849,"418,416. Folding beds. DELOOR, R., 26, Avenue du Mont Kemmel, St.-Gilles, Brussels. April 16, 1934, No. 11421. Convention date, April 24, 1933. [Class 52 (ii).] A folding bed comprises two longitudinal members 2, connected by one or more flexible bands or sheets 1, and connected to cross members 7 by pivoted struts 3 and by elastic members such as tension springs 10 adapted to pull the members 2 outwardly, the whole being detachably assembled. In the construction shown, the struts 3 are inserted in holes in the members 2, metal plates 4 and 5, Fig. 3, being attached to the members 2 to prevent relative movement. The lower ends of the struts 3 engage in cups 8 secured to the cross members 7. The springs 10 are attached to eyes 9. In a modified construction, the members 2 and 7, Fig. 4, consist of metal tubes, the springs 10 being housed in the members 7 and connected by cables 12 to the members 2. The struts 3 engage in holes in the members 2, metal sleeves 16 being provided on the latter, and are bent at right angles at their lower ends 14 to enter and pivot in holes in the members 7."
